Company,Parent,Volume,Date
BAC,Origin,53560500,3/13/2008
BAC,Origin,57591200,3/14/2008
BAC,Origin,67553100,3/17/2008
BAC,Origin,68660600,3/18/2008
BAC,Origin,61962200,3/19/2008
BAC,Origin,69566900,3/20/2008
BAC,Origin,62674600,3/24/2008
BAC,Origin,52389000,3/25/2008
BAC,Origin,51047100,3/26/2008
BAC,Origin,42795300,3/27/2008
BAC,Origin,38462100,3/28/2008
BAC,Origin,37031600,3/31/2008
BAC,Origin,52432700,4/1/2008
BAC,Origin,40527100,4/2/2008
BAC,Origin,31047600,4/3/2008
BAC,Origin,31394100,4/4/2008
BAC,Origin,32126700,4/7/2008
BAC,Origin,39627900,4/8/2008
BAC,Origin,31935100,4/9/2008
BAC,Origin,37341200,4/10/2008
BAC,Origin,35756400,4/11/2008
BAC,Origin,44191700,4/14/2008
BAC,Origin,44341600,4/15/2008
BAC,Origin,38112700,4/16/2008
BAC,Origin,30100100,4/17/2008
BAC,Origin,48291900,4/18/2008
BAC,Origin,38324400,4/21/2008
BAC,Origin,42136100,4/22/2008
BAC,Origin,30227300,4/23/2008
BAC,Origin,39720600,4/24/2008
BAC,Origin,34667400,4/25/2008
BAC,Origin,24256800,4/28/2008
BAC,Origin,28257700,4/29/2008
BAC,Origin,33748000,4/30/2008
BAC,Origin,41524300,5/1/2008
BAC,Origin,44354600,5/2/2008
BAC,Origin,32767200,5/5/2008
BAC,Origin,35600200,5/6/2008
BAC,Origin,36551000,5/7/2008
BAC,Origin,36001600,5/8/2008
BAC,Origin,43012400,5/9/2008
BAC,Origin,26709900,5/12/2008
BAC,Origin,35473600,5/13/2008
BAC,Origin,28741400,5/14/2008
BAC,Origin,46841100,5/15/2008
BAC,Origin,32144800,5/16/2008
BAC,Origin,37786200,5/19/2008
BAC,Origin,36536800,5/20/2008
BAC,Origin,44293800,5/21/2008
BAC,Origin,40330700,5/22/2008
BAC,Origin,42429400,5/23/2008
BAC,Origin,37972000,5/27/2008
BAC,Origin,46624900,5/28/2008
BAC,Origin,37973700,5/29/2008
BAC,Origin,31973900,5/30/2008
BAC,Origin,39784200,6/2/2008
BAC,Origin,47951400,6/3/2008
BAC,Origin,61136800,6/4/2008
BAC,Origin,52548300,6/5/2008
BAC,Origin,70192800,6/6/2008
BAC,Origin,69906600,6/9/2008
BAC,Origin,61912700,6/10/2008
BAC,Origin,68528000,6/11/2008
BAC,Origin,61131700,6/12/2008
BAC,Origin,51467700,6/13/2008
BAC,Origin,45187700,6/16/2008
BAC,Origin,44534100,6/17/2008
BAC,Origin,73024600,6/18/2008
BAC,Origin,104447300,6/19/2008
BAC,Origin,89929700,6/20/2008
BAC,Origin,69725400,6/23/2008
BAC,Origin,74750100,6/24/2008
BAC,Origin,72567600,6/25/2008
BAC,Origin,96150100,6/26/2008
BAC,Origin,83313400,6/27/2008
BAC,Origin,79478800,6/30/2008
BAC,Origin,105853900,7/1/2008
BAC,Origin,76056000,7/2/2008
BAC,Origin,46598700,7/3/2008
BAC,Origin,98083400,7/7/2008
BAC,Origin,104967400,7/8/2008
BAC,Origin,97149900,7/9/2008
BAC,Origin,112748800,7/10/2008
